country_name,type,product,flow,year,value,price,percentChange,change,price_ma,month,quarter,dayofweek,Country Name,Country Code,country_value
Canada,Balance,Crude oil,Industrial Production,2021,266630.18,74.88,13.713,9.03,74.17,12,4,2,Canada,CAN,7.51
Chile,Balance,Crude oil,Industrial Production,2021,340.997,52.2,7.585,3.68,48.68666666666667,1,1,4,Chile,CHL,9.13
Chile,Balance,Crude oil,Industrial Production,2021,340.997,61.5,17.816,9.3,54.07333333333335,2,1,0,Chile,CHL,9.13
Chile,Balance,Crude oil,Industrial Production,2021,340.997,59.16,-3.805,-2.34,57.620000000000005,3,1,0,Chile,CHL,9.13
Chile,Balance,Crude oil,Industrial Production,2021,340.997,63.58,7.471,4.42,61.41333333333333,4,2,3,Chile,CHL,9.13
Chile,Balance,Crude oil,Industrial Production,2021,340.997,66.93,5.269,3.35,63.223333333333336,5,2,5,Chile,CHL,9.13
Chile,Balance,Crude oil,Industrial Production,2021,340.997,73.47,9.771,6.54,67.99333333333334,6,2,1,Chile,CHL,9.13
Chile,Balance,Crude oil,Industrial Production,2021,340.997,73.95,0.653,0.48,71.45,7,3,3,Chile,CHL,9.13
Chile,Balance,Crude oil,Industrial Production,2021,340.997,68.5,-7.37,-5.45,71.97333333333334,8,3,6,Chile,CHL,9.13
Chile,Balance,Crude oil,Industrial Production,2021,340.997,75.03,9.533,6.53,72.49333333333333,9,3,2,Chile,CHL,9.13
Chile,Balance,Crude oil,Industrial Production,2021,340.997,81.78,8.996,6.75,75.10333333333334,10,4,4,Chile,CHL,9.13
Chile,Balance,Crude oil,Industrial Production,2021,340.997,65.85,-19.479,-15.93,74.22,11,4,0,Chile,CHL,9.13
Chile,Balance,Crude oil,Industrial Production,2021,340.997,74.88,13.713,9.03,74.17,12,4,2,Chile,CHL,9.13
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,52.2,7.585,3.68,48.68666666666667,1,1,4,Czech Republic,CZE,2.89
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,61.5,17.816,9.3,54.07333333333335,2,1,0,Czech Republic,CZE,2.89
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,59.16,-3.805,-2.34,57.620000000000005,3,1,0,Czech Republic,CZE,2.89
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,63.58,7.471,4.42,61.41333333333333,4,2,3,Czech Republic,CZE,2.89
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,66.93,5.269,3.35,63.223333333333336,5,2,5,Czech Republic,CZE,2.89
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,73.47,9.771,6.54,67.99333333333334,6,2,1,Czech Republic,CZE,2.89
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,73.95,0.653,0.48,71.45,7,3,3,Czech Republic,CZE,2.89
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,68.5,-7.37,-5.45,71.97333333333334,8,3,6,Czech Republic,CZE,2.89
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,75.03,9.533,6.53,72.49333333333333,9,3,2,Czech Republic,CZE,2.89
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,81.78,8.996,6.75,75.10333333333334,10,4,4,Czech Republic,CZE,2.89
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,65.85,-19.479,-15.93,74.22,11,4,0,Czech Republic,CZE,2.89
