price,percentChange,change,price_ma,month,quarter,year,dayofweek
88.8,7.04,5.84,84.36,9,3,2023,4
80.5,-9.347,-8.3,84.08666666666666,10,4,2023,6
76.05,-5.528,-4.45,81.78333333333335,11,4,2023,2
71.65,-5.786,-4.4,76.06666666666666,12,4,2023,4
75.71,5.666,4.06,74.47,1,1,2024,0
77.45,2.298,1.74,74.93666666666667,2,1,2024,3
83.1235,7.325,5.6735,78.76116666666667,3,1,2024,4
81.93,-1.436,-1.1935,80.8345,4,2,2024,0
76.99,-6.03,-4.94,80.68116666666667,5,2,2024,2
81.54,5.91,4.55,80.15333333333335,6,2,2024,5
83.6254,2.558,2.0854,80.71846666666667,7,3,2024,0
